epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.16,2.48063,3.39909,2.15655,0.00283,0.90618,0.10515,0.03432,2.39869,3.81865,2.23885,0.000539324,0.000539324,0.000539324
2,336.966,2.38084,3.04894,2.15299,0.7063,0.11709,0.09719,0.02995,2.54347,3.69646,2.7496,0.00105886,0.00105886,0.00105886
3,499.968,2.33584,2.97582,2.13164,0.60426,0.15972,0.08723,0.02317,2.58866,5.03922,2.88634,0.00154171,0.00154171,0.00154171
4,661.833,2.32154,2.85876,2.08753,0.0784,0.23912,0.09263,0.02177,2.69417,14.7131,2.82442,0.00150197,0.00150197,0.00150197
5,824.38,2.36381,2.90743,2.10492,0.78947,0.07639,0.11427,0.03632,2.55676,27.7329,2.81269,0.00144696,0.00144696,0.00144696
6,987.287,2.33983,2.83728,2.09668,0.12601,0.33242,0.13597,0.04568,2.40545,7.49825,2.40827,0.00139195,0.00139195,0.00139195
7,1148.99,2.34157,2.84644,2.07775,0.29582,0.24607,0.19877,0.05991,2.65792,5.54906,2.45453,0.00133693,0.00133693,0.00133693
8,1310.78,2.31055,2.69507,2.04295,0.66447,0.23611,0.20057,0.06416,2.45532,4.84562,2.4314,0.00128192,0.00128192,0.00128192
9,1472.77,2.2617,2.66123,2.03493,0.24218,0.36373,0.19218,0.05,2.44635,3.81813,2.35078,0.00122691,0.00122691,0.00122691
10,1633.24,2.26929,2.63929,2.06721,0.22723,0.36268,0.21563,0.06677,2.29208,3.50653,2.23559,0.0011719,0.0011719,0.0011719
11,1794.84,2.20744,2.59875,2.01553,0.37123,0.23166,0.21491,0.06652,2.32507,2.70616,2.23651,0.00111689,0.00111689,0.00111689
12,1955.57,2.21394,2.59145,1.97829,0.73001,0.24306,0.23631,0.07094,2.23189,3.18846,2.18603,0.00106188,0.00106188,0.00106188
13,2117.49,2.10464,2.44621,1.90408,0.69088,0.24872,0.24404,0.07263,2.47005,2.83517,2.33125,0.00100687,0.00100687,0.00100687
14,2279.34,2.15952,2.49424,1.96765,0.34424,0.2783,0.26483,0.08163,2.31989,3.14767,2.25641,0.000951857,0.000951857,0.000951857
15,2440.79,2.0882,2.43181,1.93006,0.77377,0.24372,0.26483,0.08819,2.40418,2.90588,2.32105,0.000896846,0.000896846,0.000896846
16,2601.61,2.10398,2.46992,1.9363,0.37798,0.26572,0.25946,0.07212,2.41891,3.02309,2.26792,0.000841835,0.000841835,0.000841835
17,2762.38,2.11275,2.45492,1.9119,0.26381,0.32246,0.23117,0.07548,2.32981,2.74085,2.18216,0.000786824,0.000786824,0.000786824
18,2922.59,2.04352,2.44398,1.89601,0.33639,0.34663,0.32828,0.10634,2.294,2.76532,2.24356,0.000731813,0.000731813,0.000731813
19,3083.51,2.0425,2.38129,1.92953,0.46839,0.30766,0.34774,0.10685,2.36861,2.46393,2.19983,0.000676802,0.000676802,0.000676802
20,3244.75,2.02089,2.41872,1.92101,0.44058,0.29219,0.30199,0.08818,2.28867,2.59452,2.25003,0.000621791,0.000621791,0.000621791
21,3404.09,2.08012,2.5012,1.96775,0.37474,0.34827,0.32412,0.11263,2.19773,2.61105,2.21473,0.00056678,0.00056678,0.00056678
22,3562.26,2.09644,2.36487,1.97438,0.31101,0.47131,0.2999,0.09506,2.41726,2.63649,2.305,0.000511769,0.000511769,0.000511769
23,3719.63,2.06824,2.34506,1.92011,0.27423,0.42951,0.32942,0.09634,2.33557,2.54164,2.24088,0.000456758,0.000456758,0.000456758
24,3877.3,2.01761,2.29783,1.92152,0.21357,0.36202,0.25379,0.07503,2.42052,2.58596,2.29079,0.000401747,0.000401747,0.000401747
25,4036.11,2.03195,2.2437,1.92122,0.40904,0.38746,0.34868,0.11241,2.30878,2.34325,2.20077,0.000346736,0.000346736,0.000346736
26,4194.97,1.98379,2.25098,1.91491,0.30461,0.43907,0.35846,0.11605,2.3107,2.41547,2.26869,0.000291725,0.000291725,0.000291725
27,4353.02,1.94695,2.1691,1.89515,0.30186,0.48521,0.36661,0.10957,2.34706,2.40472,2.25394,0.000236714,0.000236714,0.000236714
28,4512.06,1.95809,2.25384,1.88569,0.36426,0.42658,0.3668,0.11403,2.32454,2.37995,2.23281,0.000181703,0.000181703,0.000181703
29,4669.77,1.90758,2.07971,1.83728,0.38197,0.39289,0.34968,0.11256,2.38848,2.37766,2.25796,0.000126692,0.000126692,0.000126692
30,4827.94,1.88991,2.09102,1.85069,0.37873,0.46737,0.37905,0.11929,2.37269,2.36406,2.25754,7.1681e-05,7.1681e-05,7.1681e-05
